"Pos","Park","Change (%)","Area (km2)","Longitude","Lattitude"
"181","Norbury Park","0.026","0.11","-0.117","51.413"
"182","The Park","0.026","0.25","-1.582","52.347"
"183","Lake Farm Country Pa...","0.026","0.25","-0.429","51.511"
"184","Holywells Park","0.026","0.18","1.174","52.047"
"185","Chennell Park","0.026","0.20","0.676","51.073"
"186","unnamed","0.026","0.20","-4.079","50.345"
"187","Bishop's Meadow","0.026","0.14","-0.804","51.209"
"188","Woodbury Park","0.026","0.15","-0.23","52.154"
"189","Springwood Leisure C...","0.026","0.11","-1.428","52.943"
"190","Knights Grange Sport...","0.025","0.77","-2.544","53.2"
"191","Bennett's Park","0.025","0.24","0.631","51.964"
"192","Biddlesden Park","0.025","0.62","-1.081","52.048"
"193","Hobson's Park","0.025","0.30","0.13","52.171"
"194","Bramcote Hills Park","0.025","0.27","-1.252","52.94"
"195","unnamed","0.025","0.13","-2.985","53.495"
"196","Cheshunt Park","0.025","0.32","-0.049","51.719"
"197","The Academy Of Light","0.025","0.28","-1.389","54.944"
"198","Chesham Road Cricket...","0.025","0.12","-0.569","51.753"
"199","Marston Park","0.025","0.93","-2.341","51.202"
"200","Wincombe Park","0.025","0.18","-2.171","51.016"
